,0
142,"[-0.31409150694361576, -0.062252270304962706, 0.199180483286457], [0.9571784317449813 + 0.13487920288926075*i + -0.23696517718421936*j + 0.09728594570762732*k]"
143,"[-0.3166179999110059, -0.06277963701446732, 0.1989334574247908], [0.9568624548255215 + 0.13653416169156352*i + -0.23676464695443497*j + 0.09856554767767757*k]"
144,"[-0.3191444928783961, -0.06330700372397191, 0.1986864315631246], [0.9565421564055504 + 0.13818850386140613*i + -0.23656304741888184*j + 0.09984470449381619*k]"
145,"[-0.321676977941322, -0.06381859911522328, 0.19846771969267746], [0.9562267009984879 + 0.13984981103696334*i + -0.2363210240185593*j + 0.10111824888363817*k]"
146,"[-0.32420946300424786, -0.06433019450647466, 0.19824900782223034], [0.9559069043754796 + 0.14151048330217025*i + -0.2360779277339545*j + 0.1023913342022441*k]"
147,"[-0.32672272776635314, -0.0648310203930305, 0.19798980652108877], [0.9555534707964752 + 0.14317328009311503*i + -0.23593405609109136*j + 0.1037019647479934*k]"
148,"[-0.32923599252845837, -0.06533184627958634, 0.1977306052199472], [0.9551956146676215 + 0.14483541424090307*i + -0.23578909248408794*j + 0.10501211533409358*k]"
149,"[-0.3317252443437493, -0.06583017302795419, 0.19741227485114343], [0.9548084692421964 + 0.14648745669154487*i + -0.23573855444633582*j + 0.10634634945764931*k]"
150,"[-0.33421449615904025, -0.06632849977632202, 0.1970939444823397], [0.9544168726327604 + 0.14813881623807967*i + -0.23568691742829803*j + 0.10768008780934547*k]"
151,"[-0.33668633175179763, -0.0668281096641478, 0.19675093453271317], [0.953997709399481 + 0.14977800861763083*i + -0.235728372125297*j + 0.1090277633001688*k]"
152,"[-0.339158167344555, -0.06732771955197359, 0.19640792458308665], [0.9535740808872004 + 0.15141649994665515*i + -0.23576872347273892*j + 0.11037492847594922*k]"
153,"[-0.3416242088790433, -0.06781978832921043, 0.1960698000813728], [0.9531353287525015 + 0.1530491134427719*i + -0.23584794306502552*j + 0.11173523038969765*k]"
154,"[-0.34409025041353164, -0.06831185710644726, 0.19573167557965898], [0.9526920829399578 + 0.15468100536935964*i + -0.23592605072216025*j + 0.11309500551347812*k]"
155,"[-0.34654632599961266, -0.06892582646981749, 0.1952873125085408], [0.9522428257979149 + 0.15627138687863396*i + -0.2360694336847618*j + 0.1143856496208601*k]"
156,"[-0.3490024015856936, -0.0695397958331877, 0.1948429494374226], [0.9517893621553648 + 0.15786107806433708*i + -0.23621177381861672*j + 0.11567578843349989*k]"
157,"[-0.3514845218473559, -0.07013748307659418, 0.19445021842962196], [0.9513570738389019 + 0.15948680948661767*i + -0.23622574494905502*j + 0.11696611936678744*k]"
