,0
108,"[0.005707181827381046, 0.08608743736692868, 0.4479596628227352], [0.6292222586039092 + 0.7186584313835306*i + -0.16557238537732488*j + 0.245347087774078*k]"
109,"[0.009194018272412256, 0.08573290845469093, 0.4478468777092209], [0.6290628943199073 + 0.7193666447896649*i + -0.16408061291344775*j + 0.24468154368457884*k]"
110,"[0.012577049837439513, 0.0850645160727748, 0.4477106699207836], [0.629033874346467 + 0.7199708790265631*i + -0.16230146095467377*j + 0.2441650139769613*k]"
111,"[0.016156482307259443, 0.08484182847294165, 0.44763708530488805], [0.6288189495686589 + 0.7207104745317974*i + -0.16090814631945488*j + 0.24345781772528216*k]"
112,"[0.01945781557009272, 0.08465746696570678, 0.4478267637812762], [0.6287475075174712 + 0.7215042400089859*i + -0.1592730745099682*j + 0.2423639642681336*k]"
113,"[0.02280634021491851, 0.0844549015590675, 0.447993935523465], [0.6286600954008108 + 0.7222841462661559*i + -0.15766858973858167*j + 0.24131455056224999*k]"
114,"[0.026384046843999816, 0.08422847951392413, 0.4479213124342565], [0.6284400561384894 + 0.7230169680953229*i + -0.15626474733027496*j + 0.24060525436636784*k]"
115,"[0.02994938686003188, 0.08397013330753209, 0.4478494556054981], [0.6282320986691557 + 0.723738352953417*i + -0.15482973259173646*j + 0.23990619119062948*k]"
116,"[0.033566998770736656, 0.08388778310531465, 0.44776202628222056], [0.6279384935453757 + 0.7245174307040363*i + -0.15356994083992037*j + 0.23913179253376085*k]"
117,"[0.03718461068144143, 0.08380543290309722, 0.447674596958943], [0.6276428267383917 + 0.7252950850882995*i + -0.15230862951432328*j + 0.23835604243665917*k]"
118,"[0.040741514354151666, 0.08350269585771652, 0.44757128019908043], [0.6274337199150184 + 0.7259968231641148*i + -0.1508420443643343*j + 0.23770195102523595*k]"
119,"[0.04429557856281455, 0.08319249356138896, 0.44746788578042757], [0.6272241336694415 + 0.7266954252503681*i + -0.1493685330541332*j + 0.23704996603261005*k]"
120,"[0.04779529027573221, 0.0828308143916015, 0.44740928497414495], [0.6270653195512216 + 0.7273784666279821*i + -0.14781112782631925*j + 0.23635042160478886*k]"
121,"[0.05130775108238177, 0.08248842360846109, 0.4473476412705297], [0.6268931853451671 + 0.7280658422102768*i + -0.14627227458408967*j + 0.23564695046282064*k]"
122,"[0.05492536299308654, 0.08240607340624366, 0.44726021194725213], [0.6265872103991007 + 0.7288355815226717*i + -0.14500254960610282*j + 0.23486469185152534*k]"
123,"[0.05840494076485716, 0.08197338408206531, 0.44714220726104903], [0.6264251800491032 + 0.7294929869100497*i + -0.14340643274533277*j + 0.234235076145229*k]"
124,"[0.061896786136354895, 0.08155527656601985, 0.44702663987766106], [0.6262532607673043 + 0.7301516876563422*i + -0.14182513362265967*j + 0.23360436182534974*k]"
125,"[0.06551439804705966, 0.08147292636380242, 0.4469392105543835], [0.6259410731053353 + 0.7309165532581724*i + -0.14055040163420085*j + 0.23281827628732166*k]"
126,"[0.06903066634886063, 0.08113920332458809, 0.44687827977383154], [0.6257522467576196 + 0.7315982718493753*i + -0.13900895410950237*j + 0.23210903683868286*k]"
127,"[0.07263500312148005, 0.08102620633907408, 0.44681019996887456], [0.6254589264978938 + 0.7323492338313482*i + -0.13768651646885297*j + 0.23131829619252342*k]"
128,"[0.07611204748750051, 0.08048577385128189, 0.4461699660445485], [0.6250863624802268 + 0.7329827864869474*i + -0.13635495583385357*j + 0.23110733474863296*k]"
129,"[0.07959176860648981, 0.07994519838392987, 0.4455501583364317], [0.6247183984560607 + 0.7336134756334741*i + -0.1350078022554283*j + 0.23089193214494938*k]"
130,"[0.08296319405813526, 0.07931143295576647, 0.4447457493211156], [0.6243224482872427 + 0.7342307517158758*i + -0.1336916405453272*j + 0.2307666116396873*k]"
131,"[0.08632851902387384, 0.07867736162589224, 0.4439341220827784], [0.6239183561129379 + 0.7348478120907391*i + -0.13237630403980746*j + 0.23065361930727063*k]"
132,"[0.08970579054137899, 0.07804807168128543, 0.44314155526830445], [0.6235173222502692 + 0.7354666145287456*i + -0.13105333326841853*j + 0.23052121725931526*k]"
